拉丁名,纬度-Latitude,经度 - Longitude
Saussurea dschungdienensis,29.037008,100.298406
Saussurea dzeurensis,34.5761,99.895
Saussurea eriocephala,25.584234,100.222124
Saussurea erubescens,30.055305,101.96483
Saussurea euodonta,26.876096,100.229945
Saussurea fistulosa,28.64722,98.62
Saussurea flavo-virens,33.594753,103.19809
Saussurea georgei,32.6608,98.0481
Saussurea graciliformis,38.78,101.08
Saussurea graminea,28.596944,99.867778
Saussurea grandiceps,29.33,85.23
Saussurea grosseserrata,27.82308,99.706013
Saussurea gyacaensis,29.15,92.58
Saussurea haoi,31.13,97.18
Saussurea hypsipeta,34.6333,99.7333
Saussurea integrifolia,28.48611,98.911543
Saussurea irregularis,28.17,85.98
Saussurea kansuensis,31.2422,99.8614
Saussurea katochaete,28.48611,98.911543
Saussurea kingii,29.14,92.59
Saussurea lanata,29.14,92.59
Saussurea laniceps,31.80612,98.580912
Saussurea lavrenkoana,30.1828,99.9925
Saussurea leptolepis,32.583333,103.833333
Saussurea leucoma,27.42,101.5
Saussurea lhunzhubensis,31.2869,97.9942
Saussurea limprichtii,32.3989,98.1978
Saussurea lingulata,29.57,101.88
Saussurea longifolia,30.1192,92.1594
Saussurea loriformis,28.3,99.17
Saussurea lyratifolia,29.85,95.76
Saussurea malitiosa,36.47,98.22
Saussurea melanotrica,33.594753,103.19809
Saussurea micradenia,28.48611,98.911543
Saussurea minuta,33.9294,99.7433
Saussurea montana,29.037008,100.298406
Saussurea muliensis,30.5,102.5
Saussurea nematolepis,32.1383,96.5675
Saussurea neofranchetii,27.82308,99.706013
Saussurea nidularis,28.33,98.7
Saussurea nyalamensis,28.85,85.29
Saussurea ochrochlaena,28.497222,98.956389
Saussurea ovatifolia,32.3,84.06
Saussurea paleacea,31.18,97.15
Saussurea paxiana,32.8831,96.685
Saussurea phaeantha,36.92,101.32
Saussurea polycolea,30.1469,101.86
Saussurea polypodioides,27.177166,99.28717
Saussurea poochlamys,26.876096,100.229945
Saussurea porphyroleuca,26.876096,100.229945
Saussurea pratensis,34.75,99.67
Saussurea pseudomalitiosa,35.76667,94.33333
Saussurea pteridophylla,35.86,104.2
Saussurea pubescens,29.68,89.09
Saussurea pubifolia,29.65,91.12
Saussurea pulchra,40.29,97.04
Saussurea pulvinata,37,88.5
Saussurea pumila,29.037008,100.298406
Saussurea purpurascens,29.3342,101.499
Saussurea quercifolia,30.055305,101.96483
Saussurea retroserrata,28.66,97.46
Saussurea rhytidocarpa,29.037008,100.298406
Saussurea rockii,35.86,104.2
Saussurea romuleifolia,31.5978,100.367
Saussurea salwinensis,32.075,97.0386
Saussurea scabrida,35.86,104.2
Saussurea semiamplexicaulis,28.5,98.8667
Saussurea semifasciata,27.740736,98.66582
Saussurea semilyrata,35.86,104.2
Saussurea sericea,30.28,90.62
Saussurea souliei,30.5,102.5
saussurea spatulifolia,28.48611,98.911543
Saussurea subulisquama,28.48611,98.911543
Saussurea tatsienensis,28.576389,99.85
Saussurea thoroldii,36.5875,100.491
Saussurea tibetica,37.266667,94.45
Saussurea uliginosa,26.876096,100.229945
Saussurea undulata,33.57587,102.961829
Saussurea variiloba,0,0
Saussurea velutina,0,0
Saussurea wellbyi,0,0
Saussurea wettsteiniana,0,0
Saussurea woodiana,30.055305,101.96483
Saussurea yunnanensis,25,102
Scorzonera pamirica,37.77,75.22
Senecio atrofuscus,27.82308,99.706013
Senecio chungtienensis,36.519977,103.891767
Senecio daochengensis,29.037008,100.298406
Senecio densiserratus,30.91,102.54
Senecio diversipinnus,34.5886,100.558
Senecio dodrans,22.8623,106.824
Senecio drukensis,29.85,95.76
Senecio echaetus,28.85,85.29
Senecio erythropappus,36.519977,103.891767
Senecio kongboensis,29.85,95.76
Senecio lhasaensis,29.73,90.98
Senecio lijiangensis,27.82308,99.706013
Senecio lingianus,29.32,95.33
Senecio megalanthus,28.93,99.79
Senecio muliensis,29.037008,100.298406
Senecio multibracteolatus,27.42,101.5
Senecio myriocephalus,29.85,95.76
Senecio nigrocinctus,29.32,95.33
Senecio nodiflorus,28.66,97.46
Senecio pteridophyllus,35.86,104.2
Senecio saussureoides,32.0506,97.24
Senecio spathiphyllus,27.82308,99.706013
Senecio tricuspis,27.92,101.27
Seriphidium grenardii,39.46,75.99
Sinacalia caroli,30.368117,102.81464
Sinosenecio fangianus,30.91,102.54
Sinosenecio rotundifolius,32.63,103.59
Sinosenecio subrosulatus,29.914155,102.234618
Sinosenecio sungpanensis,32.98383,103.6691
Soroseris teres,27.48,88.9
